"","Company","Ticker","SICS","ModelID","perform:OperatingRevenue","perform:CostRevenue","position:SellingGeneralAdministrative5yCapitalization","position:PropertyPlantEquipmentGross","position:OtherIntangibleAssets","position:LeaseContractCommitments","position:Goodwill","perform:ResearchDevelopmentExpenses","perform:FCF","value:MarketCap","Firm_Efficiency","Satisfied_Constraint"
"402","Kirby Corporation","KEX","20303010",1097570,2224,1596,901,5874,249,114,1127,0,172,3390.3499741689,0.0022,"Yes"
"403","Tractor Supply Company","TSCO","25504040",1097571,10491,6813,5987,4943,125,61,0,0,550,15815.8688239833,0.603,"Yes"
"404","TransUnion","TRU","20202020",1097572,2896,949,2272,1096,3282,72,4635,0,666,17203.9230977095,0.0014,"Yes"
"405","T. Rowe Price Group Inc","TROW","40203010",1097573,6647,0,8875,2298,0,0,665,0,2421,34600.7988412823,1,"Yes"
"406","Trinity Industries Inc","TRN","20106010",1097574,1808,1320,803,8587,0,43,208,0,44,2366.13763025484,0.0017,"Yes"
"407","Trimble Inc","TRMB","45103020",1097575,3328,1372,2456,663,1097,128,5218,480,502,15670.1357779804,0.0016,"Yes"
"408","Tripadvisor Inc","TRIP","25301030",1097576,969,69,3103,637,108,18,695,0,1092,6488.67995504602,0,"Yes"
"409","Targa Resources Corp","TRGP","10102040",1097577,8816,5437,927,15185,1983,202,46,0,1295,8310.26141739885,0.3709,"No"
"410","Tempur Sealy International Inc","TPX","25201020",1097579,3887,2142,2741,1144,649,186,723,27,438,1417.686,0.0017,"Yes"
"411","Toll Brothers Inc","TOL","25201030",1097580,8140,6375,2197,568,0,33,0,0,-419,5689.99711898799,0.5415,"Yes"
"412","T-Mobile Us Inc","TMUS","50102010",1097581,78292,22618,42935,74793,36018,14253,1914,0,10131,159212.727235476,1,"Yes"
"413","Thermo Fisher Scientific Inc.","TMO","35101010",1097582,34103,16966,18632,9516,18865,662,31926,1232,8043,186225.079981351,0.7144,"Yes"
"414","Timken Co","TKR","20106020",1097583,3710,2583,1658,3059,1140,112,1493,0,384,5620.02817543125,0.0027,"Yes"
"415","Tiffany & Co.","TIF","25504010",1097585,3582,1336,5780,4262,56,540,0,0,865,15963.8304,7e-04,"Yes"
"416","TreeHouse Foods Inc.","THS","30202030",1097586,4383,3520,1579,2109,912,147,2931,18,367,2437.79651881597,0.0035,"Yes"
"417","Thor Industries  Inc.","THO","25202010",1097587,10554,9047,1578,1456,1017,31,1643,24,418,5104.65039549835,0.4819,"Yes"
"418","Target Corporation","TGT","25503020",1097588,91785,65699,46346,50544,53,1842,636,0,5060,86451.2026608,1,"Yes"
"419","Teleflex Incorporated","TFX","35101020",1097589,2855,1172,2516,1157,3003,103,2901,118,590,18206.9866093279,0.0012,"Yes"
"420","Teradyne  Inc.","TER","45301010",1097591,3237,1328,1244,1382,122,57,372,421,823,19895.8563070766,0.003,"Yes"
"421","BIO-TECHNE Corp","TECH","35201010",1097592,847,255,632,418,557,60,786,67,222,12242.961303972,0,"Yes"
"422","Atlassian Corporation PLC","TEAM","45103020",1097593,1889,272,1231,373,148,0,738,963,4749,50741.5797849084,0.0012,"Yes"
"423","Telephone & Data Systems  Inc.","TDS","50102010",1097594,5313,2398,5135,13947,2527,1284,525,0,181,2444.16454840278,0.0595,"Yes"
"424","TransDigm Group Incorporated","TDG","20101010",1097595,4736,2271,1303,907,2117,98,7367,106,1908,35279.7126647555,0.0171,"Yes"
"425","Teradata Corporation","TDC","45102010",1097596,1857,764,1881,680,85,32,384,284,244,2693.10858880689,8e-04,"Yes"
"426","Taubman Centers  Inc.","TCO","60101040",1097597,554,150,108,4925,3,655,0,0,312,3072.49106336882,0,"Yes"
"427","Molson Coors Beverage Co","TAP","30201010",1097598,10235,6227,7859,8496,17470,173,10475,0,1354,10257.8556443942,0.2091,"Yes"
"428","AT&T Inc.","T","50102010",1097599,173018,76110,114279,372340,185166,22161,165435,1244,29518,217419.112042045,1,"Yes"
"429","SYSCO Corporation","SYY","30101030",1097600,51254,41613,144,10911,789,556,3777,0,1722,40476.7874909761,1,"Yes"
"430","Skyworks Solutions Inc","SWKS","45301020",1097602,3906,1925,590,3786,113,0,1248,475,1020,24178.107489214,0.0081,"Yes"
"431","Range Resources Corp.","RRC","10102020",1097603,2177,509,3340,7342,0,57,0,71,359,2382.19026096,6e-04,"No"
"432","RPM International Inc.","RPM","15101010",1097604,5853,3524,4409,2039,607,227,1298,78,499,11233.9969391624,0.1317,"Yes"
"433","Retail Properties of America Inc","RPAI","60101040",1097605,445,130,119,4061,79,79,0,0,257,1738.12259887677,0,"Yes"
"434","Agios Pharmaceuticals Inc","AGIO","35201010",1097607,188,7,337,151,0,0,0,455,-301,2344.21373235524,0,"Yes"
"435","AGCO Corporation","AGCO","20106010",1097608,9437,7204,3075,4077,511,99,1324,353,476,6567.98063727614,0.3456,"Yes"
"436","AES Corp","AES","55101010",1097609,10513,7098,1380,30955,434,206,981,0,1366,14726.8474029596,0.2843,"Yes"
"437","Autodesk  Inc.","ADSK","45103020",1097610,3761,297,4556,1015,307,249,2700,910,1172,62493.039576,0.001,"Yes"
"438","Alliance Data Systems Corporation","ADS","20201070",1097611,4418,2120,405,1000,216,294,1351,0,1147,3556.49540128586,0.0137,"Yes"
"439","Electronic Arts Inc.","EA","45103020",1097612,5998,1474,3383,1705,54,90,1935,1680,1624,39112.391864,0.1419,"Yes"
"440","DexCom  Inc.","DXCM","35101020",1097613,2320,793,1443,652,0,80,19,380,344,37922.6450594244,0.0015,"Yes"
"441","Devon Energy Corp","DVN","10102020",1097614,7057,1006,10705,15482,0,7,753,52,756,10120.9425783,0.341,"No"
"442","Davita Inc","DVA","35102015",1097615,11810,8183,3382,10521,144,1874,7251,0,1415,12677.2550441121,0.4291,"Yes"
"443","Darden Restaurants  Inc.","DRI","25301040",1097616,7393,5872,1923,9367,894,998,1041,0,708,15284.1907764,0.2355,"Yes"
"444","Duke Realty Corp","DRE","60101040",1097617,996,325,159,8798,0,43,0,0,639,14596.8486240292,2e-04,"Yes"
"445","Domino's Pizza  Inc.","DPZ","25301040",1097618,4310,2631,2116,731,73,219,15,0,606,15060.6983584244,0.0026,"Yes"
"446","Amdocs Limited","DOX","45102010",1097619,4412,2896,1434,1943,234,0,2812,287,585,8685.26796202134,0.0039,"Yes"
"447","Dover Corp","DOV","20106020",1097620,7028,4397,4741,2533,1087,131,3899,136,1026,17353.0020111285,0.1677,"Yes"
"448","Dunkin Brands Group Inc","DNKN","25301040",1097621,1393,114,2361,775,1302,275,888,0,362,8780.80966324574,3e-04,"Yes"
"449","Dollar Tree  Inc.","DLTR","25503020",1097622,25530,17733,15080,14300,3100,2508,1983,0,1128,25634.15843352,0.6238,"Yes"
"450","Digital Realty Trust  Inc.","DLR","60101040",1097623,4316,1652,646,20203,1986,678,2942,0,1260,34173.1440107453,0.0082,"Yes"
"451","Aptiv PLC","APTV","25101010",1097624,15283,12447,2982,7382,1307,335,2654,1233,929,34620.6252067889,0.4353,"Yes"
"452","Dolby Laboratories  Inc.","DLB","50202010",1097625,1221,129,1516,1061,185,0,344,211,313,9260.80619033671,3e-04,"Yes"
"453","Dicks Sporting Goods Inc","DKS","25504040",1097626,9502,6555,6010,5881,94,229,245,0,600,4853.7501057432,0.4437,"Yes"
"454","DISH Network Corp","DISH","50201020",1097627,17615,12295,4254,8420,25789,127,0,28,1672,28959.5967217034,0.7528,"Yes"
"455","Discovery Inc","DISCA","50201020",1097628,11581,4806,8104,2828,12625,573,13967,0,7324,18901.0634258844,0.293,"Yes"
"456","Walt Disney Co","DIS","50201020",1097629,68729,48797,32350,71650,48695,3893,84951,0,4693,245336.988262349,0.6506,"Yes"
"457","Danaher Corporation","DHR","35101010",1097630,25505,10888,16813,7327,10406,638,24242,1499,5623,165826.174030792,0.5382,"Yes"
"458","D. R. Horton Inc","DHI","25201030",1097631,25251,19388,5338,978,0,39,256,0,204,25819.2956022873,1,"Yes"
"459","Quest Diagnostics Inc","DGX","35102015",1097632,9213,5731,3962,4807,1193,419,7044,0,1688,17779.0167671627,0.2805,"Yes"
"460","Douglas Emmett  Inc.","DEI","60101040",1097633,928,317,116,11486,8,46,0,0,509,6519.0693763836,0,"Yes"
"461","Deere & Company","DE","20106010",1097634,35273,25781,8097,25117,1692,301,3577,1608,3761,79096.9534206826,0.6906,"Yes"
"462","Cognex Corporation","CGNX","20106020",1097635,884,224,774,251,53,0,327,130,212,13178.7771281527,0,"Yes"
"463","Colfax Corp","CFX","20106020",1097636,3376,1992,2184,999,2136,102,3979,62,376,5313.53942067834,0.0018,"Yes"
"464","Donaldson Company  Inc.","DCI","20201050",1097637,2631,1720,1429,1611,69,55,326,61,298,6928.43155584,0.0019,"Yes"
"465","Delta Air Lines  Inc.","DAL","20302010",1097639,26690,13485,36909,54660,5163,1254,9781,0,-381,27100.5782336,0.3884,"Yes"
"466","Columbia Property Trust Inc","CXP","60101040",1097641,273,92,115,2415,-40,2,0,0,143,1692.13474,0,"Yes"
"467","Concho Resources Inc","CXO","10102020",1097642,3721,454,1699,22538,17,16,1917,97,861,12923.70254383,0.0026,"No"
"468","Chevron Corporation","CVX","10102030",1097643,123268,67266,28097,299456,0,1119,4463,693,13235,164331.39832,1,"No"
"469","CVS Health Corp","CVS","35102015",1097644,277723,171835,84944,54201,39121,9369,94197,0,12685,95365.501276221,1,"Yes"
"470","CubeSmart","CUBE","60101080",1097645,711,229,113,4709,10,45,0,0,457,6286.82397509482,0,"Yes"
"471","Citrix Systems  Inc.","CTXS","45103020",1097646,3334,477,4305,1275,109,74,1810,568,867,16744.6367870787,9e-04,"Yes"
"472","Cognizant Technology Solutions Corp","CTSH","45102010",1097647,17580,11183,8865,4514,1249,142,4774,0,2248,40962.9896432557,0.5464,"Yes"
"473","Centurylink Inc","LUMN","50101020",1097648,20046,8595,10927,61156,10097,1385,22728,0,4214,11646.0825195287,0.3841,"Yes"
"474","Cintas Corporation","CTAS","20201070",1097649,7094,3779,5550,3613,684,133,2759,0,1269,38632.910319988,0.2046,"Yes"
"475","CSX Corporation","CSX","20304020",1097650,11381,2508,9061,46952,0,473,0,0,3496,65715.764754402,0.3137,"Yes"
"476","Carlisle Companies  Inc.","CSL","20105010",1097651,4462,3174,1865,1804,1314,50,1978,56,525,8366.16855997333,0.003,"Yes"
"477","CoStar Group Inc","CSGP","45102030",1097652,1909,345,1765,401,536,0,2397,159,509,33817.8475883757,9e-04,"Yes"
"478","Cisco Systems  Inc.","CSCO","45201020",1097653,48787,16943,33803,11885,1650,376,35399,6196,13698,186693.3854016,1,"Yes"
"479","salesforce.com  inc.","CRM","45102010",1097654,21118,4561,21039,7216,4969,1501,26442,2818,7193,207645.74452,0.4061,"Yes"
"480","Charles River Laboratories Intl. Inc","CRL","35201010",1097655,3195,2017,1356,2382,898,105,2006,0,521,12282.8061157866,0.0027,"Yes"
"481","Carter's  Inc.","CRI","25504010",1097656,3391,1881,3347,1570,387,163,236,0,303,4034.69189366937,0.0012,"Yes"
"482","Crane Co.","CR","20106020",1097657,3130,1991,2038,1381,633,28,1848,45,370,4469.64577644143,0.0017,"Yes"
"483","Camden Property Trust","CPT","60101060",1097658,1078,387,154,8942,0,13,0,0,548,9806.98619438822,0.001,"Yes"
"484","Copa Holdings  S.A.","CPA","20302010",1097661,1481,1012,2133,3658,87,0,20,0,127,4183.29131083419,4e-04,"Yes"
"485","Coty Inc","COTY","30302010",1097662,4762,1967,9149,2788,4472,392,4064,86,474,8638.32563949,0.0079,"Yes"
"486","Costco Wholesale Corporation","COST","25503020",1097663,183788,160869,43864,38083,283,1897,988,0,4736,160689.499304242,1,"Yes"
"487","Edwards Lifesciences Corp","EW","35101010",1097664,5103,1210,3463,1951,360,5,1249,844,1122,54812.5129521174,0.0889,"Yes"
"488","Eaton Vance Corp","EV","40203010",1097665,1843,299,1943,0,75,333,259,0,572,7487.25286995514,7e-04,"Yes"
"489","Eaton Corporation PLC","ETN","20104010",1097666,18215,12142,10193,9692,4781,316,13873,508,2447,44875.1331235643,0.3612,"Yes"
"490","Essex Property Trust Inc","ESS","60101060",1097668,1475,420,237,14038,0,71,0,0,964,16476.6839573243,0.0033,"Yes"
"491","Empire State Realty Trust Inc","ESRT","60101040",1097669,624,319,196,3263,352,27,491,0,150,2939.26626,0,"Yes"
"492","Equity Residential","EQR","60101060",1097671,2477,901,156,27533,0,296,0,0,1537,21842.1500174961,0.014,"Yes"
"493","Equinix Inc","EQIX","60101040",1097672,6581,2851,5372,19696,2179,1233,4956,0,1470,62352.8639266736,0.0949,"Yes"
"494","Equity Commonwealth","EQC","60101040",1097673,59,31,113,662,0,562,0,0,0,5765.64315232374,0,"Yes"
"495","EPR Properties","EPR","60101040",1097674,448,23,194,5753,43,223,0,0,239,2656.2970002816,0,"Yes"
"496","EOG Resources Inc","EOG","10102020",1097675,12471,6572,3294,74299,0,402,0,101,1963,31971.7756225939,0.2101,"No"
"497","Energizer Holdings Inc","ENR","20104010",1097676,2808,1650,1485,1138,3116,79,1598,33,393,2960.9475858987,0.002,"Yes"
"498","Emerson Electric Co.","EMR","20104010",1097677,17105,10040,12268,10464,3280,324,8198,418,2679,48426.1292375973,0.3691,"Yes"
"499","Eastman Chemical Company","EMN","15101010",1097678,8914,6656,2120,13694,2017,157,4446,220,1204,13949.9406663089,0.2432,"Yes"
"500","Equity Lifestyle Properties  Inc.","ELS","60101060",1097679,594,160,126,5933,4,14,7,0,218,11510.1111160645,0,"Yes"
"501","Estee Lauder Companies Inc","EL","30302010",1097680,15386,3571,24688,7416,2338,1508,1401,237,1956,90794.66953803,0.4236,"Yes"
"502","Equifax Inc.","EFX","20202020",1097681,4336,1913,4047,2199,1207,127,4567,0,528,21455.9784029145,0.0014,"Yes"
"503","Euronet Worldwide  Inc.","EEFT","20201070",1097682,2832,1648,1762,1171,270,210,779,0,304,7273.64306952756,0.0017,"Yes"
"504","Ecolab Inc.","ECL","15101050",1097683,12696,7197,11238,9135,3699,472,7304,175,1656,64467.1479563011,0.2831,"Yes"
"505","eBay Inc","EBAY","45102030",1097684,11006,2688,11250,8084,69,445,5381,1212,3405,35212.5351738266,0.246,"Yes"
"506","Automatic Data Processing Inc","ADP","45102010",1097685,14598,8265,8830,2595,1279,172,2429,675,2765,73695.785124,0.5147,"Yes"
"507","Archer-Daniels-Midland Co","ADM","30202030",1097686,65830,61551,6786,27344,1581,673,2555,154,1869,27166.59025143,0.8366,"Yes"
"508","Analog Devices  Inc.","ADI","45301020",1097687,6238,1848,1785,4118,5429,346,13922,1089,2701,52323.180204242,0.1321,"Yes"
"509","Adobe Inc","ADBE","45103020",1097688,14896,1710,12000,3152,2895,525,14805,2346,14568,230943.542678784,0.3553,"Yes"
"510","Accenture Plc","ACN","45102010",1097689,46707,31962,20472,7042,1108,37,8302,920,7388,158602.210905687,1,"Yes"
"511","Aecom","ACM","20103010",1097690,13171,12009,745,1540,317,1075,5873,0,579,7365.90552297839,0.6222,"Yes"
"512","Acadia Healthcare Company Inc","ACHC","35102015",1097691,3417,0,6361,4001,90,1085,2434,0,280,4092.56293090779,6e-04,"Yes"
"513","American Campus Communities  Inc.","ACC","60101060",1097692,864,408,89,7400,0,1033,0,0,618,9464.67662674551,0,"Yes"
"514","Abbott Laboratories","ABT","35101020",1097693,38690,15774,27882,21354,20614,741,25307,2758,7566,190463.474452865,0.701,"Yes"
"515","ABIOMED  Inc.","ABMD","35101010",1097694,835,160,876,234,22,0,31,99,198,12037.7048153544,0,"Yes"
"516","AmerisourceBergen Corp.","ABC","35101020",1097695,200612,195115,7476,3772,2357,432,6889,0,2096,20310.5074320199,1,"Yes"
"517","AbbVie Inc","ABBV","35202010",1097696,53666,9289,23653,10708,20308,608,14981,8080,22747,190621.955792362,1,"Yes"
"518","Apple Inc.","AAPL","45202030",1097697,314546,193131,53418,110643,0,5188,0,19855,72672,2060667.56145901,1,"Yes"
"519","Advance Auto Parts  Inc.","AAP","25504050",1097698,10166,5648,10649,3770,550,4900,990,0,649,10649.6086319403,0.3999,"Yes"
"520","American Airlines Group Inc","AAL","20302010",1097699,26568,16831,42612,55160,2137,3235,4091,0,-1416,9530.20018749362,0.3433,"Yes"
"521","Agilent Technologies Inc","A","35101010",1097700,5735,2530,4300,2187,607,85,3676,442,954,36623.3547106515,0.0835,"Yes"
"522","Jabil Inc","JBL","45203010",1097701,26602,24540,3209,8650,215,344,716,42,620,6079.21622196,0.7489,"Yes"
"523","Invesco Ltd.","IVZ","40203010",1097703,4470,1147,6611,1526,2710,291,8916,0,1410,7910.3875542973,9e-04,"Yes"
"524","Illinois Tool Works Inc.","ITW","20105010",1097704,13605,7891,6920,5727,1023,172,4372,212,2450,63675.1082864495,0.4244,"Yes"
"525","ITT Inc","ITT","20106020",1097705,2589,1740,1189,1632,185,0,946,87,327,6713.54971397451,0.0022,"Yes"
"526","Gartner Inc","IT","45102010",1097706,4427,1499,5668,829,1558,1296,4369,0,805,13902.2108528453,0.001,"Yes"
"527","Intuitive Surgical  Inc.","ISRG","35101010",1097707,4986,1459,2975,1302,44,0,160,555,1499,91565.8110063025,0.1486,"Yes"
"528","Iron Mountain Inc","IRM","60101040",1097708,4286,1713,2950,8266,1784,3005,5143,0,940,7918.63075683018,0.0018,"Yes"
"529","IPG Photonics Corporation","IPGP","45203010",1097710,1347,691,503,1169,115,45,133,128,179,11031.1211037918,0.0012,"Yes"
"530","Interpublic Group of Companies Inc","IPG","50201010",1097711,8401,7477,250,2323,1625,1452,7238,0,858,9224.11705124952,0.4183,"Yes"
"531","International Paper Co","IP","15103020",1097712,21360,15127,9526,33574,0,253,3355,27,27770,19118.5065310519,0.5289,"Yes"
"532","Ionis Pharmaceuticals Inc","IONS","35201010",1097713,794,42,723,303,29,6,0,566,67,6424.9740288543,0,"Yes"
"533","Intuit Inc.","INTU","45103020",1097714,8934,1466,7224,2432,29,236,1716,1667,2307,99584.463,0.2826,"Yes"
"534","Intel Corporation","INTC","45301020",1097715,70924,30171,19613,160697,10536,300,25571,13313,15549,207510.135598633,0.8514,"Yes"
"535","Ingredion Inc","INGR","30202030",1097716,6266,4948,115,5909,443,122,813,44,378,5478.94268703577,0.2115,"Yes"
"536","Incyte Corporation","INCY","35201010",1097717,2874,124,1565,584,193,0,155,1264,854,18460.1849543245,0.002,"Yes"
"537","Illumina  Inc.","ILMN","35101010",1097718,3951,1184,2341,2115,142,266,808,725,895,52780.7978026762,0.0021,"Yes"
"538","International Flavors & Fragrances Inc","IFF","30202030",1097719,5303,3114,2356,3335,3967,228,7648,358,789,12765.9641201539,0.0599,"Yes"
"539","IDEX Corporation","IEX","20106020",1097720,2506,1402,1539,832,387,69,1778,93,492,14569.6273737885,0.0016,"Yes"
"540","IDEXX Laboratories  Inc.","IDXX","35101020",1097721,2944,1245,1982,1276,62,29,256,158,567,39885.2067475047,0.0016,"Yes"
"541","Intercontinental Exchange Inc","ICE","40203040",1097722,6732,0,5665,3405,10627,277,13822,0,3116,61554.442688699,0.1529,"Yes"
"542","International Business Machines Corp.","IBM","45102010",1097723,74551,37559,60142,41711,18726,3034,71564,5618,12808,111995.676787741,0.66,"Yes"
"543","Interactive Brokers Group  Inc.","IBKR","40203020",1097724,2044,419,1177,189,34,0,0,0,4889,4463.224566702,0.0015,"Yes"
"544","IAC/Interactivecorp","IAC","45102030",1097725,3368,883,6680,920,541,206,2673,291,74,13832.375996073,6e-04,"Yes"
"545","Hexcel Corporation","HXL","20101010",1097726,1442,1173,425,3215,300,67,0,38,170,3612.72209955228,0.0018,"Yes"
"546","Huntsman Corporation","HUN","15101050",1097727,6743,5155,2312,6288,214,290,300,130,507,5648.04202346097,0.213,"Yes"
"547","Hubbell Incorporated","HUBB","20104010",1097728,4409,3096,1968,1507,1023,74,2372,93,520,8763.95097727428,0.0028,"Yes"
"548","Healthcare Trust Of America Inc","HTA","60101080",1097729,767,229,117,7217,12,194,0,0,446,5464.12620720291,0,"Yes"
"549","Hershey Co","HSY","30202030",1097730,8298,4493,5531,5506,1805,171,2398,38,1452,31086.8161680553,0.2724,"Yes"
"550","Host Hotels and Resorts Inc","HST","60101080",1097731,2380,0,10249,18589,0,1658,0,0,-165,11608.1344037404,2e-04,"Yes"
"551","Henry Schein  Inc.","HSIC","35101020",1097732,10872,7708,6700,1091,675,125,2904,0,580,10280.1046081803,0.4091,"Yes"
"552","L3harris Technologies Inc","LHX","20101010",1097733,19286,13010,4394,4441,8029,609,18986,605,3407,38707.7025283875,0.577,"Yes"
"553","United Parcel Service  Inc.","UPS","20301010",1097734,86617,18594,127201,64929,2170,1876,3819,0,6347,142013.21509825,1,"Yes"
"554","Union Pacific Corporation","UNP","20304020",1097735,21080,3993,16514,80666,0,1647,0,0,6066,133341.336556496,0.7992,"Yes"
"555","Ulta Beauty Inc","ULTA","25504040",1097737,6013,4152,4423,4103,3,0,10,0,540,14707.3212692745,0.3131,"Yes"
"556","Universal Health Services  Inc.","UHS","35102015",1097738,12081,0,20036,10516,0,336,3892,0,908,11503.008666733,1,"Yes"
"557","AMERCO","UHAL","20304020",1097739,4139,2691,943,14196,0,76,0,0,-1410,8450.648765126,0.0054,"Yes"
"558","Domtar Corp (USA)","UFS","15105020",1097740,4692,3849,1297,9754,573,51,0,0,567,1856.8237110946,0.0065,"Yes"
"559","UDR  Inc.","UDR","60101060",1097741,1232,416,178,11600,0,338,0,0,633,10962.95495,0.0022,"Yes"
"560","ConocoPhillips","COP","10102020",1097742,24936,15207,4024,94704,0,549,0,542,2876,46753.1875396001,0.5219,"No"
"561","Cooper Companies Inc","COO","35101020",1097743,2769,905,2650,2594,1907,272,2999,88,543,17258.986438928,0.0011,"Yes"
"562","CyrusOne Inc","CONE","60101080",1097744,1124,437,306,5139,235,60,455,0,-197,5726.8454069772,8e-04,"Yes"
"563","Commscope Holding Company Inc","COMM","45201020",1097745,8648,5706,3133,1543,4067,127,8582,591,971,3196.71504689377,0.261,"Yes"
"564","Cabot Oil & Gas Corporation","COG","10102020",1097746,2196,703,356,5701,0,18,0,22,529,7021.62148440704,0.0055,"No"
"565","Cinemark Holdings  Inc.","CNK","25301030",1097748,1931,691,2382,4832,325,439,1300,0,178,1738.93235094633,7e-04,"Yes"
"566","Cummins Inc.","CMI","25101010",1097749,21379,15906,6909,9880,1024,128,1268,299,1739,31597.2182283209,0.6797,"Yes"
"567","Chipotle Mexican Grill  Inc.","CMG","25301040",1097750,7016,5456,2726,3164,0,0,21,0,580,37486.2707593315,0.7755,"Yes"
"568","CME Group Inc","CME","40203040",1097751,4797,0,3874,1786,22854,745,10890,0,2550,64867.7304023573,0.0178,"Yes"
"569","Comcast Corporation","CMCSA","50201020",1097752,110541,35996,111766,115399,120853,4313,75738,0,19478,231936.984161775,1,"Yes"
"570","Clorox Co","CLX","30301010",1097753,7313,3982,4504,3632,946,270,1669,155,1008,25877.411055066,0.2381,"Yes"
"571","Clean Harbors Inc","CLH","20201050",1097754,3319,2295,1418,3896,472,183,549,0,267,4164.2326335025,0.0027,"Yes"
"572","Corelogic Inc","CLGX","20202020",1097755,1592,603,1338,1146,853,73,2574,0,412,5530.24435829066,8e-04,"Yes"
"573","Colgate-Palmolive Company","CL","30302010",1097756,16744,6500,16701,9806,2382,621,3681,298,3240,72003.5525217583,0.4596,"Yes"
"574","Chimera Investment Corporation","CIM","60101080",1097757,501,0,123,0,0,0,0,0,0,2482.5141849354,0,"Yes"
"575","Charter Communications Inc","CHTR","50201020",1097758,50893,19273,10255,72189,77360,1512,29554,0,11555,133541.152864262,1,"Yes"
"576","CH Robinson Worldwide Inc","CHRW","20304020",1097759,16965,14286,5183,584,155,312,1361,0,610,12593.2173069281,0.7004,"Yes"
"577","Choice Hotels International Inc","CHH","25301020",1097761,1007,534,478,254,335,27,208,0,230,6038.14653078388,1e-04,"Yes"
"578","Apartment Investment and Management Co","AIV","60101060",1097762,869,307,139,8308,23,454,37,0,29,6033.15632,0,"Yes"
"579","Hasbro  Inc.","HAS","25202010",1097763,6029,2774,4810,756,662,68,464,326,748,12350.3006874246,0.1905,"Yes"
"580","Halliburton Company","HAL","10101020",1097764,13604,12009,1139,23673,0,765,2948,243,1565,17002.271121745,0.3789,"No"
"581","Hain Celestial Group Inc","HAIN","30202030",1097765,2072,1553,929,633,347,68,864,11,114,3824.2010103264,0.0019,"Yes"
"582","Hyatt Hotels Corporation","H","25301020",1097766,3387,1873,4980,5847,765,459,344,0,121,7543.435683029,8e-04,"Yes"
"583","W W Grainger Inc","GWW","20106020",1097767,12241,7764,8667,3564,528,231,424,0,986,21909.5631502548,0.5916,"Yes"
"584","Guidewire Software Inc","GWRE","45103020",1097768,735,329,606,205,39,89,340,230,14,9991.82783725895,0,"Yes"
"585","Goodyear Tire & Rubber Co","GT","25101020",1097770,13706,10817,6678,19681,137,541,565,397,120,2222.85866315091,0.3641,"Yes"
"586","Goldman Sachs Group Inc","GS","40203020",1097771,38098,12265,42730,31033,242,1069,2815,0,723,86482.0942791551,0.9066,"Yes"
"587","Garmin Ltd.","GRMN","45201020",1097772,4355,1795,2022,1629,100,0,260,702,927,22695.793651071,0.0027,"Yes"
"588","W R Grace & Co","GRA","15101050",1097773,1854,1114,783,2917,486,23,737,55,226,3645.90479005782,0.0018,"Yes"
"589","Gap Inc","GPS","25504010",1097774,14059,9304,2843,14363,121,1122,109,0,-130,8078.5986498,0.6147,"Yes"
"590","Global Payments Inc","GPN","20201070",1097775,7669,2536,5303,1884,2591,450,6603,0,2841,57679.4697517254,0.2035,"Yes"
"591","Graphic Packaging Holding Company","GPK","15103020",1097776,6637,5528,1360,7735,635,214,1771,9,372,4452.10631157489,0.1762,"Yes"
"592","Genuine Parts Company","GPC","25101010",1097777,17586,11520,13508,2792,2094,1041,3158,0,783,13954.8331439949,0.5236,"Yes"
"593","Alphabet Inc","GOOGL","45102030",1097778,215515,101399,74174,150089,1957,123,15770,34574,37182,1214578.1695452,1,"Yes"
"594","Gentex Corporation","GNTX","25101010",1097779,1948,1188,239,1348,290,0,307,117,420,7807.96448951894,0.0066,"Yes"
"595","General Motors Company","GM","25102010",1097780,135323,112318,38560,42095,3744,1341,1874,6952,4712,62241.2688142429,0.8938,"Yes"
"596","Corning Incorporated","GLW","45203010",1097781,12520,7663,4602,30406,1263,352,1892,1023,1645,32403.8708854661,0.2674,"Yes"
"597","Gaming and Leisure Properties Inc","GLPI","60101080",1097782,1210,109,296,8600,9,576,16,0,1044,9791.05246094597,0.0013,"Yes"
"598","General Mills  Inc.","GIS","30202030",1097783,17535,11361,8985,10540,7095,359,13923,222,2634,36467.82595855,0.37,"Yes"
"599","Gilead Sciences  Inc.","GILD","35201010",1097784,23614,3443,11204,7949,20081,329,5253,6378,9082,75053.4877582566,0.8003,"Yes"
"600","Graham Holdings Co","GHC","25302020",1097785,2826,1958,2057,898,471,470,1689,0,172,2154.22002829368,0.0015,"Yes"
"601","Graco Inc.","GGG","20106020",1097786,1714,811,1093,781,185,39,322,68,364,11745.4930704992,0.0011,"Yes"
"602","General Electric Company","GE","20105010",1097787,81067,58603,38956,14436,8145,1314,22723,2637,5104,102469.874903192,0.8184,"Yes"
"603","Godaddy Inc","GDDY","45102010",1097788,3666,1275,2867,943,1701,136,4140,542,1198,14558.4745871427,0.0015,"Yes"
"604","General Dynamics Corporation","GD","20101010",1097789,38945,32869,6135,11507,3858,1281,29244,464,3832,42945.4163421816,0.7212,"Yes"
"605","Genpact Ltd","G","20201070",1097790,3903,2533,2258,695,207,444,1636,0,382,7759.0561404505,0.0021,"Yes"
"606","Fortive Corp","FTV","20106020",1097791,5000,2111,5723,1689,3831,130,9489,307,1148,23926.991858714,0.022,"Yes"
"607","Fortinet Inc","FTNT","45102010",1097792,2969,614,3026,623,24,0,42,370,633,21883.0523892435,0.0011,"Yes"
